"ext","category","description","product","is_project"
sh        ,executables                                                                                                                                                                                                                                                    ,Executables,,
shp       ,geography                                                                                                                                                                                                                                                      ,ESRI SHP file,ArcGIS                                                                                                                                                                                                                                                         ,
shp.xml   ,geography                                                                                                                                                                                                                                                      ,ESRI SHP file Metadata,ArcGIS                                                                                                                                                                                                                                                         ,
shx       ,geography                                                                                                                                                                                                                                                      ,ESRI SHP file,ArcGIS                                                                                                                                                                                                                                                         ,
slk       ,geology                                                                                                                                                                                                                                                        ,Sylk Spreadsheet,,
spx       ,geography                                                                                                                                                                                                                                                      ,ESRI GeoDatabase  table Index,ArcGIS                                                                                                                                                                                                                                                         ,
sql       ,database                                                                                                                                                                                                                                                       ,SQL File,,
stk       ,geography                                                                                                                                                                                                                                                      ,Metamorph STK,,
sun       ,image                                                                                                                                                                                                                                                          ,Sun Raster,,
swf       ,video                                                                                                                                                                                                                                                          ,flash .swf,,
sxf       ,geography                                                                                                                                                                                                                                                      ,Panorama GIS Interchangr format,,
tab       ,geography                                                                                                                                                                                                                                                      ,MapInfo file,,
tar       ,archive                                                                                                                                                                                                                                                        ,RAR archive,,
tar.gz    ,archive                                                                                                                                                                                                                                                        ,[rfc:1952 GZIP],,
tar.z     ,archive                                                                                                                                                                                                                                                        ,Compressed file  using LZH algorithm,,
tbd       ,geography                                                                                                                                                                                                                                                      , Isoline Table Data,Izoline                                                                                                                                                                                                                                                        ,
tex       ,text                                                                                                                                                                                                                                                           ,TEX File,,
tga       ,image                                                                                                                                                                                                                                                          ,TrueVision Targa,,
tif       ,image                                                                                                                                                                                                                                                          ,Tagged image File Format,,
tiff      ,image                                                                                                                                                                                                                                                          ,Tagged image File Format,,
tld       ,geography                                                                                                                                                                                                                                                      ,аннотации ГИС Интегро,,
ts        ,video                                                                                                                                                                                                                                                          ,MPEG Transport Stream (MPEG-2 Part 1),,
tsa       ,video                                                                                                                                                                                                                                                          ,MPEG Transport Stream (MPEG-2 Part 1),,
tsv       ,video                                                                                                                                                                                                                                                          ,MPEG Transport Stream (MPEG-2 Part 1),,
txf       ,geography                                                                                                                                                                                                                                                      ,Panorama GIS Interchangr format,,
txt       ,text                                                                                                                                                                                                                                                           ,Text ,,
ukooa     ,geology                                                                                                                                                                                                                                                        ,SEGY format,,
